Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20	DBS21	DBS22
TA>CT	0.00053455263522558	0.00021209975552902	0.00029590175970515	0.00702769679379094	0.00179404973644303	0.0210543229170231	0.0273186003140795	0.00327394804710329	0.0114370330600674	0.00132039758849103	0.00265108924157573	0.00247773959165835	0.0132540710932609	0.0031757572540914	0.0020717386313189	0.00906281033461091	0.0139286079940185	0.00896990926143303	0.00770079245337314	0.103444613065722	0.0114075577805703	0.0112402447414678
TA>GC	1.53016869910965e-05	6.22533105684355e-05	0.00171175710760889	5.65508128605749e-05	4.12586758291003e-05	0.000212963537347285	0.00141756273985999	0.000630035029472252	0.000466340656430899	6.03933541804892e-18	0.00080003238390788	0.00141167646871539	0.000102548783404734	7.92933364135768e-05	6.4395162849043e-05	0.000751159209416325	0.000577278976791179	0.000211250081313597	0.000209659273163148	0.00253634918385346	0.000547893606801617	0.000573599948166749
TA>GG	5.35178405708499e-05	5.97540900711626e-05	0.00469657978548888	0.0017891613840468	0.00128823813068048	0.000175856199335611	0.00404615657160386	0.000173279822976509	0.00261763078046883	0.00700136813411819	0.000294129345272198	0.00202437097298443	0.000480055339598171	0.000347323231259093	0.00187742279355187	0.000779471301506415	0.00484177132919337	0.00301408432836435	0.000949025545036197	0.00867574109156286	0.00183096414022251	0.0021034863702261
TA>GT	0.000875691946883697	0.000984749676391392	0.000311384636093788	0.00649578403697347	0.00150953085640085	5.04066208591529e-05	0.0246900064823355	0.000122174484978381	0.00626620517273211	0.00294236747577353	0.00209420338566388	0.00121013440247047	0.0049727472118543	0.00345672514601652	0.000664811783000299	0.00487695188955951	0.0101936884964658	0.0056604008659244	0.00637371457921401	0.0497103363297145	0.00817147010091192	0.00569966792303335
TC>AA	1.02228783081699e-05	0.00135317515081368	0.00581788180888666	0.376304313421956	0.0393362950156958	0.0455165853930392	0.0226686136728963	0.0381700832888896	0.00366146487287335	0.00759128010963448	0.000209686441594626	0.0214530071633657	0.0678757675863716	0.000756054259720525	0.000484639169887231	0.0745136642898448	0.058977645419824	0.00364488661236807	0.0132662400091907	0.196421180532596	0.0204033545427073	0.152597443965649
TC>AG	2.89804531855458e-06	0.000186644526654749	6.5094457493676e-06	0.00185669937459859	0.0145076935253039	0.00822876265324213	4.62825105987638e-06	0.011411673969372	0.0463388611038901	0.000272121527673437	0.0458025191833814	0.00751937995739824	0.066986539388541	6.84291975118682e-09	0.000114489108240852	0.0100787826331026	0.000235855447298172	0.0117535115542895	0.00286847939148284	0.00871593466039906	0.00658863519311746	0.0392586688585366
TC>AT	0.00230776788413216	3.89072132927238e-18	0.00118689035519512	0.00835018249411868	0.000728305882611903	0.000590323799938441	0.00264852708257914	0.0181996531044024	0.0513994221650423	0.00310278506042399	0.0817488005507763	0.0184434439026624	0.157371767300867	0.00237998062595793	0.00812689016903601	0.0260823502762467	0.0013304931743025	0.0729623436700311	0.0914576110735952	0.0261162129748813	0.0395358307942885	0.133629067830695
TC>CA	4.14542404790008e-06	0.000636458563653521	0.0694118834327349	0.0839982712725158	0.00139234902322785	0.0117269801559853	0.00313428285844294	0.0173142645643599	0.0484226218911634	0.0253042656933229	0.000272496220878374	0.0229407616615093	0.0373795744119727	0.00567172955412111	0.0204094289807444	0.014399672509726	0.00542422502915395	0.0186532368922823	0.00460722275730427	0.0164825802928482	0.0241223047403721	0.054762972371385
TC>CG	3.09499985476703e-05	3.62947385392555e-06	0.000122927808482886	0.000397154484713804	1.03217677878195e-17	0.000856665873542063	0.00188519542058755	0.010723038547574	0.00772975851433466	0.000845483309506701	0.00313080503289625	0.00660499018545825	0.00720216311309697	0.000906403835272911	3.38436564728039e-06	0.000266005862552984	0.00166476868407969	0.00217432091267328	0.00064624846682795	0.000515735714219067	0.00279443314218819	0.00489509797721926
TC>CT	0.00178242260878401	0.00312630095311389	0.0205586340863832	8.21742053788504e-06	0.001022354545605	0.0093318936588959	0.0106288040143869	0.00861778146170809	0.0510025153956854	0.0263084038902318	0.0194225877624121	0.00601823132329014	0.0323903829862996	0.0356432188775033	0.0478036720440134	0.00775982048618358	0.0209982111726826	0.0253040676640157	0.0185124314950144	0.0198689007089854	0.0688412611822352	0.0248370666591016
