Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD42887	15386	0.989	339707494.0	2207900.0%	45376734.935	2416620.589%	0.04462	0.987
PD42890	19588	0.994	251718472.0	1285064.693%	27029017.442	1295424.128%	0.01717	0.991
PD42891	7855	0.973	44979639.0	572624.303%	3663467.503	567787.055%	1000.0	0.944
PD42893	4783	0.97	27021886.0	564956.847%	2202472.701	551119.578%	1000.0	0.939
PD42894	21504	0.986	474786816.0	2207900.0%	63420170.201	2498979.859%	0.0324	0.984
PD42895	8776	0.986	130366104.0	1485484.321%	11017281.557	1486267.3%	0.03139	0.972
PD42896	11657	0.992	119036783.0	1021161.388%	12706486.092	1039077.843%	0.02418	0.988
PD42897	11788	0.992	125992202.0	1068817.458%	13719375.109	1080279.152%	0.0233	0.989
PD42898	33259	0.98	734325461.0	2207900.0%	98086901.331	1815517.407%	0.07294	0.981
PD42899	26526	0.987	585667554.0	2207900.0%	78230563.373	2081115.221%	0.02984	0.984
PD42900	15252	0.896	93805767.0	615039.123%	7719850.647	588122.128%	0.15095	0.797
PD42901	5128	0.978	33920448.0	661475.195%	2715154.955	653872.757%	0.04399	0.953
PD42902	3837	0.972	22800954.0	594239.093%	1867495.37	606115.661%	1000.0	0.941
PD42903	7285	0.984	61377483.0	842518.641%	6020059.598	874381.748%	0.03852	0.976
PD42904	5300	0.976	30644286.0	578194.075%	2523820.16	565733.93%	1000.0	0.952
PD42905	20142	0.994	444715218.0	2207900.0%	59402751.31	2025620.069%	0.02602	0.994
PD42906	8539	0.989	188532581.0	2207900.0%	25183445.602	2505684.003%	0.05106	0.989
PD46699	8008	0.978	38907597.0	485859.103%	3079517.757	487213.02%	1000.0	0.95
PD46700	3383	0.958	17929914.0	530000.414%	1499036.917	540050.611%	1000.0	0.914
PD46701	5559	0.972	26524128.0	477138.478%	2054243.865	470801.584%	0.0473	0.934
PD46702	4885	0.973	62840640.0	1286400.0%	4935337.502	1275204.38%	0.04679	0.94
PD46703	8171	0.967	53732504.0	657600.098%	4300837.233	681209.265%	1000.0	0.926
PD46704	4363	0.954	18678027.0	428100.55%	1496821.169	416705.869%	1000.0	0.904
PD46705	13124	0.974	289764796.0	2207900.0%	38705584.994	2367438.499%	0.04294	0.968
PD46706	7475	0.979	48170847.0	644426.047%	3769875.538	632350.569%	0.03773	0.953
PD46707	4740	0.965	31170242.0	657600.042%	2494907.763	662411.065%	1000.0	0.923
PD46708	8261	0.978	39759891.0	481296.344%	3135601.407	481844.562%	1000.0	0.951
PD46709	6580	0.919	29425772.0	447200.182%	2245104.422	406279.382%	1000.0	0.834
PD46710	5796	0.957	24812704.0	428100.483%	1988457.482	432056.983%	1000.0	0.906
PD46711	4767	0.967	61322688.0	1286400.0%	4816137.142	1322451.025%	0.05129	0.922
PD46712	4861	0.962	62531904.0	1286400.0%	4911100.304	1295750.706%	0.06558	0.913
PD46713	8391	0.982	40381611.0	481249.088%	3184514.896	478873.338%	1000.0	0.96
PD46714	6857	0.976	88208448.0	1286400.0%	6927669.975	1307859.697%	0.03884	0.943
PD46716	6996	0.97	89996544.0	1286400.0%	7068121.863	1349635.393%	0.04797	0.93
PD46717	7657	0.973	98499648.0	1286400.0%	7735909.201	1291387.873%	0.04103	0.938
PD46718	2647	0.944	14029112.0	530000.453%	1172918.042	557213.58%	1000.0	0.886
