NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
145	2207.029	42.066	80.892	40.439	0.181	0.819	60000.0
146	2206.997	42.068	80.863	40.439	0.181	0.819	70000.0
147	2208.349	41.954	81.605	40.341	0.18	0.821	100000.0
148	2208.025	41.958	81.577	40.343	0.18	0.821	120000.0
149	2207.438	41.951	81.525	40.337	0.18	0.822	100000.0
150	2207.026	42.067	80.902	40.446	0.181	0.819	90000.0
151	2207.861	42.076	80.914	40.449	0.181	0.819	60000.0
152	2207.262	42.074	80.885	40.445	0.181	0.819	80000.0
153	2207.478	42.079	80.864	40.445	1.23	0.819	80000.0
154	2207.684	41.959	81.554	40.348	0.18	0.821	70000.0
155	2206.93	42.067	80.866	40.439	0.181	0.819	80000.0
156	2207.598	41.946	81.559	40.336	0.18	0.822	160000.0
157	2206.39	42.068	80.858	40.444	1.23	0.819	70000.0
158	2207.883	42.076	80.876	40.442	1.23	0.819	70000.0
159	2207.084	41.949	81.528	40.345	0.18	0.821	90000.0
160	2206.848	41.948	81.548	40.342	0.18	0.821	70000.0
161	2207.258	42.068	80.891	40.441	0.181	0.819	70000.0
162	2207.3	41.954	81.528	40.345	0.18	0.821	90000.0
163	2207.201	42.065	80.89	40.433	0.181	0.819	60000.0
164	2208.147	41.956	81.595	40.35	0.18	0.821	100000.0
165	2207.208	42.068	80.858	40.436	0.181	0.819	100000.0
166	2207.469	41.944	81.543	40.339	1.228	0.821	120000.0
167	2206.504	42.061	80.849	40.433	0.181	0.819	70000.0
168	2206.5	42.073	80.865	40.45	0.181	0.819	50000.0
169	2207.16	42.064	80.856	40.433	0.181	0.819	90000.0
170	2207.135	42.068	80.883	40.443	0.181	0.819	60000.0
171	2207.068	42.07	80.875	40.444	0.181	0.819	100000.0
172	2207.324	41.942	81.594	40.34	0.18	0.821	120000.0
173	2206.943	41.959	81.53	40.35	0.18	0.821	80000.0
174	2206.892	42.065	80.873	40.433	1.229	0.819	90000.0
175	2206.647	41.945	81.534	40.338	0.18	0.821	70000.0
176	2207.826	42.082	80.891	40.448	0.181	0.819	60000.0
177	2207.064	41.945	81.58	40.343	0.18	0.821	90000.0
178	2207.786	41.959	81.577	40.348	0.18	0.821	70000.0
179	2207.239	41.949	81.563	40.35	0.18	0.821	100000.0
180	2207.479	41.953	81.59	40.345	0.18	0.821	100000.0
181	2207.294	41.951	81.58	40.347	0.18	0.821	120000.0
182	2207.336	42.069	80.885	40.438	0.181	0.819	100000.0
183	2206.844	41.949	81.539	40.339	0.18	0.821	60000.0
184	2206.949	41.949	81.556	40.345	0.18	0.821	120000.0
185	2207.494	41.951	81.585	40.346	0.18	0.821	100000.0
186	2207.193	42.064	80.872	40.438	0.181	0.819	60000.0
187	2207.059	42.075	80.899	40.444	0.181	0.819	70000.0
188	2207.094	42.067	80.874	40.431	0.181	0.819	50000.0
189	2207.37	42.069	80.89	40.439	0.181	0.819	100000.0
190	2208.208	41.951	81.589	40.349	0.18	0.821	90000.0
191	2207.155	41.956	81.53	40.343	0.18	0.821	90000.0
192	2207.351	42.072	80.898	40.444	0.181	0.819	70000.0
193	2207.288	42.077	80.866	40.447	0.181	0.819	80000.0
194	2206.716	42.067	80.88	40.438	0.181	0.819	70000.0
195	2207.48	41.945	81.559	40.34	0.18	0.821	90000.0
196	2207.137	41.959	81.575	40.355	0.18	0.821	50000.0
197	2207.308	42.068	80.899	40.442	0.181	0.819	90000.0
198	2206.945	42.067	80.87	40.441	0.181	0.819	90000.0
199	2207.495	41.955	81.55	40.339	0.18	0.821	80000.0
200	2207.326	42.069	80.874	40.439	0.181	0.819	130000.0
201	2207.728	42.075	80.904	40.446	1.23	0.819	80000.0
202	2207.691	42.078	80.907	40.449	0.181	0.819	90000.0
203	2207.148	41.946	81.575	40.345	0.18	0.821	110000.0
204	2207.051	42.073	80.883	40.445	1.23	0.819	90000.0
205	2207.098	42.079	80.845	40.444	0.181	0.819	80000.0
206	2207.161	42.072	80.878	40.44	0.181	0.819	100000.0
207	2207.182	42.066	80.9	40.44	0.181	0.819	70000.0
208	2208.039	41.951	81.576	40.34	0.18	0.821	110000.0
209	2207.501	42.069	80.878	40.437	0.181	0.819	100000.0
210	2207.619	42.072	80.919	40.443	0.181	0.819	70000.0
211	2207.39	42.061	80.895	40.434	0.181	0.819	150000.0
212	2207.311	41.953	81.549	40.345	0.18	0.821	150000.0
213	2209.026	41.956	81.625	40.355	0.18	0.821	150000.0
214	2207.175	41.955	81.54	40.344	0.18	0.821	100000.0
215	2206.62	42.059	80.858	40.431	0.181	0.819	110000.0
216	2207.271	41.953	81.584	40.355	0.18	0.821	90000.0
217	2207.561	42.073	80.887	40.446	0.181	0.819	70000.0
218	2207.326	41.955	81.557	40.345	0.18	0.821	60000.0
219	2206.73	42.07	80.875	40.449	0.181	0.819	90000.0
220	2207.545	42.075	80.915	40.444	0.181	0.819	100000.0
221	2206.881	41.948	81.53	40.342	0.18	0.821	110000.0
222	2207.459	42.066	80.868	40.433	0.181	0.819	110000.0
223	2207.992	41.945	81.606	40.34	0.18	0.821	80000.0
224	2207.308	42.075	80.89	40.443	0.181	0.819	90000.0
225	2207.396	41.95	81.576	40.343	0.18	0.821	90000.0
226	2206.892	42.07	80.862	40.441	0.181	0.819	100000.0
227	2206.991	41.949	81.534	40.341	0.18	0.821	90000.0
228	2207.172	42.069	80.865	40.441	0.181	0.819	60000.0
229	2206.716	42.067	80.834	40.435	0.181	0.819	70000.0
230	2207.03	41.958	81.532	40.347	0.18	0.821	150000.0
231	2207.407	42.072	80.885	40.444	0.181	0.819	80000.0
232	2207.692	42.073	80.885	40.434	0.181	0.819	60000.0
233	2206.688	42.063	80.834	40.437	0.181	0.819	100000.0
234	2207.372	41.949	81.565	40.342	0.18	0.821	140000.0
235	2207.105	42.077	80.873	40.449	0.181	0.819	90000.0
236	2207.414	42.066	80.895	40.435	0.181	0.819	110000.0
237	2207.03	42.072	80.853	40.443	1.23	0.819	90000.0
238	2207.366	42.075	80.871	40.445	0.181	0.819	100000.0
239	2206.815	42.062	80.866	40.435	0.181	0.819	110000.0
240	2207.133	42.07	80.866	40.441	0.181	0.819	80000.0
241	2207.29	42.076	80.881	40.446	0.181	0.819	80000.0
242	2207.464	41.952	81.542	40.341	0.18	0.821	90000.0
243	2207.193	41.958	81.544	40.353	0.18	0.821	90000.0
244	2206.746	42.065	80.893	40.445	0.181	0.819	90000.0
245	2207.538	41.949	81.566	40.341	0.18	0.821	70000.0
246	2207.187	42.073	80.875	40.44	0.181	0.819	70000.0
247	2207.372	42.07	80.873	40.434	0.181	0.819	60000.0
248	2207.302	42.077	80.851	40.443	0.181	0.819	140000.0
249	2207.146	42.069	80.891	40.441	0.181	0.819	60000.0
250	2207.346	41.948	81.552	40.34	0.18	0.821	140000.0
251	2207.002	42.07	80.875	40.441	0.181	0.819	140000.0
252	2207.422	41.946	81.573	40.342	0.18	0.821	110000.0
253	2207.094	42.066	80.869	40.434	0.181	0.819	60000.0
