Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.952	10674	1.0	24.062	0.225%	2.948	0.238%	0.0	1.0
SP.Syn.Abst.953	10715	1.0	26.776	0.25%	3.278	0.264%	1e-05	1.0
SP.Syn.Abst.954	7538	1.0	21.44	0.284%	2.635	0.3%	1e-05	1.0
SP.Syn.Abst.955	8236	1.0	25.164	0.306%	3.007	0.311%	1e-05	1.0
SP.Syn.Abst.956	11810	1.0	21.419	0.181%	2.601	0.19%	0.0	1.0
SP.Syn.Abst.957	11708	1.0	25.666	0.219%	3.07	0.222%	1e-05	1.0
SP.Syn.Abst.958	5774	1.0	22.847	0.396%	2.714	0.407%	2e-05	1.0
SP.Syn.Abst.959	10186	1.0	24.189	0.237%	3.011	0.256%	1e-05	1.0
SP.Syn.Abst.960	4611	1.0	23.624	0.512%	2.766	0.518%	2e-05	1.0
SP.Syn.Abst.961	18137	1.0	28.194	0.155%	3.471	0.165%	0.0	1.0
SP.Syn.Abst.962	7252	1.0	24.993	0.345%	3.138	0.355%	2e-05	1.0
SP.Syn.Abst.963	14044	1.0	28.79	0.205%	3.499	0.216%	1e-05	1.0
SP.Syn.Abst.964	17310	1.0	28.506	0.165%	3.474	0.169%	0.0	1.0
SP.Syn.Abst.965	15626	1.0	27.02	0.173%	3.198	0.175%	0.0	1.0
SP.Syn.Abst.966	8898	1.0	24.031	0.27%	2.835	0.274%	1e-05	1.0
SP.Syn.Abst.967	12549	1.0	25.64	0.204%	3.07	0.207%	1e-05	1.0
SP.Syn.Abst.968	6713	1.0	25.258	0.376%	3.004	0.384%	2e-05	1.0
SP.Syn.Abst.969	10907	1.0	23.297	0.214%	2.824	0.222%	1e-05	1.0
SP.Syn.Abst.970	8628	1.0	24.422	0.283%	3.062	0.301%	1e-05	1.0
SP.Syn.Abst.971	16045	1.0	23.21	0.145%	2.8	0.15%	0.0	1.0
SP.Syn.Abst.972	3438	1.0	24.482	0.712%	2.881	0.692%	6e-05	1.0
SP.Syn.Abst.973	12551	1.0	26.299	0.21%	3.121	0.212%	0.0	1.0
SP.Syn.Abst.974	6326	1.0	23.718	0.375%	2.889	0.393%	2e-05	1.0
SP.Syn.Abst.975	5179	1.0	26.936	0.52%	3.174	0.528%	3e-05	1.0
SP.Syn.Abst.976	11626	1.0	22.654	0.195%	2.994	0.218%	0.0	1.0
SP.Syn.Abst.977	9899	1.0	24.166	0.244%	2.969	0.258%	1e-05	1.0
SP.Syn.Abst.978	8466	1.0	23.554	0.278%	2.803	0.286%	1e-05	1.0
SP.Syn.Abst.979	16286	1.0	29.409	0.181%	3.555	0.185%	0.0	1.0
SP.Syn.Abst.980	10226	1.0	25.789	0.252%	3.051	0.257%	1e-05	1.0
SP.Syn.Abst.981	8257	1.0	24.177	0.293%	2.837	0.296%	1e-05	1.0
SP.Syn.Abst.982	9551	1.0	23.547	0.247%	2.984	0.269%	1e-05	1.0
SP.Syn.Abst.983	12943	1.0	24.609	0.19%	3.073	0.205%	0.0	1.0
SP.Syn.Abst.984	8880	1.0	23.166	0.261%	2.887	0.281%	1e-05	1.0
SP.Syn.Abst.985	13976	1.0	24.013	0.172%	2.9	0.178%	0.0	1.0
SP.Syn.Abst.986	8845	1.0	22.001	0.249%	2.678	0.257%	1e-05	1.0
SP.Syn.Abst.987	13912	1.0	24.915	0.179%	3.038	0.188%	1e-05	1.0
SP.Syn.Abst.988	9727	1.0	25.06	0.258%	2.989	0.266%	1e-05	1.0
SP.Syn.Abst.989	4195	1.0	23.952	0.571%	2.908	0.593%	7e-05	1.0
SP.Syn.Abst.990	12899	1.0	27.465	0.213%	3.186	0.213%	0.0	1.0
SP.Syn.Abst.991	9193	1.0	24.385	0.265%	2.853	0.266%	1e-05	1.0
SP.Syn.Abst.992	5192	1.0	21.938	0.423%	2.624	0.436%	2e-05	1.0
SP.Syn.Abst.993	8479	1.0	20.283	0.239%	2.472	0.248%	1e-05	1.0
SP.Syn.Abst.994	10697	1.0	24.534	0.229%	2.937	0.236%	1e-05	1.0
SP.Syn.Abst.995	7515	1.0	25.665	0.342%	2.985	0.34%	1e-05	1.0
SP.Syn.Abst.996	11973	1.0	27.617	0.231%	3.201	0.229%	1e-05	1.0
SP.Syn.Abst.997	7315	1.0	25.996	0.355%	3.04	0.358%	1e-05	1.0
SP.Syn.Abst.998	7114	1.0	25.153	0.354%	2.891	0.346%	1e-05	1.0
SP.Syn.Abst.999	7454	1.0	22.713	0.305%	2.871	0.331%	1e-05	1.0
SP.Syn.Abst.1000	10337	1.0	26.525	0.257%	3.29	0.274%	1e-05	1.0
